"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 07 17:29:39 GMT 2024","Sun Apr 07 17:29:43 GMT 2024","4319","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/gamestop-corp"" page","","Compare the current value with the 52 week range on the ""/equities/gamestop-corp"" page",""
"passed","Sun Apr 07 17:29:46 GMT 2024","Sun Apr 07 17:29:49 GMT 2024","3113","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/tesla-motors"" page","","Compare the current value with the 52 week range on the ""/equities/tesla-motors"" page",""
"passed","Sun Apr 07 17:29:43 GMT 2024","Sun Apr 07 17:29:46 GMT 2024","3220","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/apple-computer-inc"" page","","Compare the current value with the 52 week range on the ""/equities/apple-computer-inc"" page",""
"failed","Sun Apr 07 17:29:49 GMT 2024","Sun Apr 07 17:31:24 GMT 2024","94190","","Verify Top Navigation bar","","Top Navigation bar Editions button is functional","","Top Navigation bar Editions button is functional",""
