"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 19 16:27:44 GMT 2024","Sun May 19 16:27:48 GMT 2024","4135","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/gamestop-corp"" page","","Compare the current value with the 52 week range on the ""/equities/gamestop-corp"" page",""
"failed","Sun May 19 16:27:51 GMT 2024","Sun May 19 16:36:54 GMT 2024","543130","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/tesla-motors"" page","","Compare the current value with the 52 week range on the ""/equities/tesla-motors"" page",""
"passed","Sun May 19 16:27:48 GMT 2024","Sun May 19 16:27:51 GMT 2024","2503","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/apple-computer-inc"" page","","Compare the current value with the 52 week range on the ""/equities/apple-computer-inc"" page",""
"broken","Sun May 19 16:36:54 GMT 2024","Sun May 19 16:42:54 GMT 2024","360025","","Verify Top Navigation bar","","Top Navigation bar Editions button is functional","","Top Navigation bar Editions button is functional",""
