"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 19 18:10:09 GMT 2024","Sun May 19 18:10:14 GMT 2024","5017","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/gamestop-corp"" page","","Compare the current value with the 52 week range on the ""/equities/gamestop-corp"" page",""
"passed","Sun May 19 18:10:17 GMT 2024","Sun May 19 18:10:21 GMT 2024","3751","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/tesla-motors"" page","","Compare the current value with the 52 week range on the ""/equities/tesla-motors"" page",""
"passed","Sun May 19 18:10:14 GMT 2024","Sun May 19 18:10:17 GMT 2024","3534","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/apple-computer-inc"" page","","Compare the current value with the 52 week range on the ""/equities/apple-computer-inc"" page",""
"failed","Sun May 19 18:10:21 GMT 2024","Sun May 19 18:11:56 GMT 2024","95044","","Verify Top Navigation bar","","Top Navigation bar Editions button is functional","","Top Navigation bar Editions button is functional",""
