"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun May 19 15:50:36 GMT 2024","Sun May 19 15:56:36 GMT 2024","360025","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/apple-computer-inc"" page","","Compare the current value with the 52 week range on the ""/equities/apple-computer-inc"" page",""
"failed","Sun May 19 15:41:25 GMT 2024","Sun May 19 15:50:36 GMT 2024","551424","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/gamestop-corp"" page","","Compare the current value with the 52 week range on the ""/equities/gamestop-corp"" page",""
"broken","Sun May 19 15:56:36 GMT 2024","Sun May 19 16:02:36 GMT 2024","360011","","Verify that the current stock value is within the 52 week range","","Compare the current value with the 52 week range on the ""/equities/tesla-motors"" page","","Compare the current value with the 52 week range on the ""/equities/tesla-motors"" page",""
"broken","Sun May 19 16:02:36 GMT 2024","Sun May 19 16:08:36 GMT 2024","360010","","Verify Top Navigation bar","","Top Navigation bar Editions button is functional","","Top Navigation bar Editions button is functional",""
